round_epochs,val_loss,val_iou,val_iou_thresholded,loss,iou,iou_thresholded,activation,batch_size,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,shapes
50,0.22537954231655155,0.8915596604347229,0.902607798576355,0.03344259657771201,0.9709991,0.9803026,relu,2,0.2,50,16,32,logcosh,2,AdaDelta,sigmoid,brick
50,0.09658399809289861,0.9408671259880066,0.9534154534339905,0.03251362373883612,0.9713234,0.9806773,relu,2,0.2,50,16,32,logcosh,3,Adam,sigmoid,brick
50,0.13544622115376923,0.9336360096931458,0.9456779360771179,0.0289229435967622,0.9745818,0.9825291,relu,2,0.2,50,16,32,logcosh,3,AdaDelta,sigmoid,brick
50,0.1304504970640496,0.9459366202354431,0.9540508985519409,0.030520171310533497,0.9727628,0.9814543,relu,2,0.2,50,16,32,logcosh,4,Adam,sigmoid,brick
50,0.12708019393806655,0.9519325494766235,0.9601575136184692,0.02681369937375922,0.9759607,0.9835349,relu,2,0.2,50,16,32,logcosh,4,AdaDelta,sigmoid,brick
50,0.08193224462232104,0.9435847401618958,0.9645628929138184,0.03503028974410839,0.96919477,0.979273,relu,2,0.2,50,16,32,logcosh,5,Adam,sigmoid,brick
50,0.06746359131540414,0.9656639099121094,0.9725220799446106,0.02594149943044341,0.97630376,0.98353696,relu,2,0.2,50,16,32,logcosh,5,AdaDelta,sigmoid,brick
50,0.1460265248220552,0.9314616322517395,0.9394242167472839,0.030901644445529328,0.97284603,0.9816769,relu,2,0.2,50,32,32,logcosh,2,Adam,sigmoid,brick
50,0.14231045755937144,0.9290432333946228,0.9351180195808411,0.028497726546929163,0.9752238,0.9831021,relu,2,0.2,50,32,32,logcosh,2,AdaDelta,sigmoid,brick
50,0.12270550436029831,0.9249744415283203,0.9339206218719482,0.031101284664130174,0.972458,0.9813184,relu,2,0.2,50,32,32,logcosh,3,Adam,sigmoid,brick
50,0.15572176823323525,0.9456143975257874,0.9532832503318787,0.026427480359583953,0.9766621,0.98388577,relu,2,0.2,50,32,32,logcosh,3,AdaDelta,sigmoid,brick
50,0.20688927328145063,0.9165319204330444,0.9259811043739319,0.03442401404304516,0.9692519,0.9795046,relu,2,0.2,50,32,32,logcosh,4,Adam,sigmoid,brick
50,0.15332815632638003,0.9280036091804504,0.9347847104072571,0.02477118931118464,0.9775972,0.9844685,relu,2,0.2,50,32,32,logcosh,4,AdaDelta,sigmoid,brick
50,0.11575480862348168,0.9452787637710571,0.9534702897071838,0.03422654100911417,0.969778,0.97948474,relu,2,0.2,50,32,32,logcosh,5,Adam,sigmoid,brick
50,0.06297046901244256,0.9684616923332214,0.9744969010353088,0.02308324586736284,0.9790061,0.985363,relu,2,0.2,50,32,32,logcosh,5,AdaDelta,sigmoid,brick
50,0.11864001339094507,0.9453965425491333,0.9570590257644653,0.03301378353595118,0.9711288,0.9805323,relu,2,0.2,50,64,32,logcosh,2,Adam,sigmoid,brick
50,0.11438705130928645,0.9439101815223694,0.9511321187019348,0.026825668499027698,0.9765543,0.9840049,relu,2,0.2,50,64,32,logcosh,2,AdaDelta,sigmoid,brick
50,0.10649692453788938,0.9415246844291687,0.9506695866584778,0.031109751708544967,0.97267807,0.98158693,relu,2,0.2,50,64,32,logcosh,3,Adam,sigmoid,brick
